animal,session_date,session_id,strain,stage,total_trials,correct,incorrect,omissions,performance,percent_correct,percent_omissions,qc_pass,qc_status,qc_reason,include,include_reason
1033999,20260325,1033999_20260325,Fezf2,trained,760,480,137,64,70.48458149779736,77.79578606158833,9.397944199706314,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1038513,20260317,1038513_20260317,Fmr1-Fezf2,naive,624,327,125,105,58.707360861759426,72.34513274336283,18.850987432675044,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1038513,20260319,1038513_20260319,Fmr1-Fezf2,naive,577,222,118,174,43.190661478599225,65.29411764705883,33.85214007782101,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1038513,20260331,1038513_20260331,Fmr1-Fezf2,trained,668,261,98,239,43.64548494983278,72.70194986072424,39.96655518394649,False,fail,percent_omissions >= 30,True,include_all_animals_ignore_criteria
1038513,20260402,1038513_20260402,Fmr1-Fezf2,trained,646,229,62,288,39.55094991364421,78.69415807560138,49.740932642487046,False,fail,percent_omissions >= 30,True,include_all_animals_ignore_criteria
1053833,20260526,1053833_20260526,Fmr1-Fezf2,naive,723,400,185,64,61.63328197226502,68.37606837606837,9.861325115562405,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1053833,20260528,1053833_20260528,Fmr1-Fezf2,naive,735,419,191,50,63.48484848484849,68.68852459016394,7.575757575757576,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1053833,20260608,1053833_20260608,Fmr1-Fezf2,trained,720,454,161,30,70.3875968992248,73.8211382113821,4.651162790697675,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1053833,20260610,1053833_20260610,Fmr1-Fezf2,trained,688,313,94,212,50.56542810985461,76.90417690417691,34.24878836833602,False,fail,percent_omissions >= 30,True,include_all_animals_ignore_criteria
1053835,20260610,1053835_20260610,Fmr1-Fezf2,naive,429,119,160,72,33.903133903133906,42.65232974910394,20.51282051282051,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1053835,20260612,1053835_20260612,Fmr1-Fezf2,naive,401,63,107,188,17.59776536312849,37.05882352941177,52.513966480446925,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1053835,20260623,1053835_20260623,Fmr1-Fezf2,trained,469,145,148,123,34.855769230769226,49.48805460750853,29.567307692307693,False,fail,percent_correct <= 60,True,include_all_animals_ignore_criteria
1053835,20260625,1053835_20260625,Fmr1-Fezf2,trained,613,368,144,13,70.0952380952381,71.875,2.4761904761904763,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1053836,20260624,1053836_20260624,Fmr1-Fezf2,naive,679,328,226,41,55.12605042016807,59.205776173285194,6.890756302521009,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1053836,20260626,1053836_20260626,Fmr1-Fezf2,naive,630,312,240,3,56.21621621621622,56.52173913043478,0.5405405405405406,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1060138,20260527,1060138_20260527,Fmr1-Fezf2,naive,529,90,61,325,18.907563025210084,59.60264900662252,68.27731092436974,False,fail,percent_omissions > 60,True,include_all_animals_ignore_criteria
1060138,20260529,1060138_20260529,Fmr1-Fezf2,naive,692,333,140,146,53.79644588045234,70.40169133192389,23.586429725363487,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1060138,20260609,1060138_20260609,Fmr1-Fezf2,trained,405,21,27,316,5.769230769230769,43.75,86.81318681318682,False,fail,percent_omissions >= 30; percent_correct <= 60,True,include_all_animals_ignore_criteria
1060138,20260611,1060138_20260611,Fmr1-Fezf2,trained,477,166,54,208,38.78504672897196,75.45454545454545,48.598130841121495,False,fail,percent_omissions >= 30,True,include_all_animals_ignore_criteria
1060141,20260624,1060141_20260624,Fmr1-Fezf2,naive,711,362,217,58,56.828885400313965,62.52158894645942,9.105180533751962,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1060141,20260626,1060141_20260626,Fmr1-Fezf2,naive,687,318,131,167,51.62337662337663,70.8240534521158,27.110389610389614,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1060148,20260609,1060148_20260609,Fmr1-Tlx3,naive,724,389,170,90,59.93836671802774,69.58855098389982,13.86748844375963,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1060148,20260611,1060148_20260611,Fmr1-Tlx3,naive,760,447,195,37,65.8321060382916,69.62616822429906,5.44918998527246,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1060148,20260623,1060148_20260623,Fmr1-Tlx3,trained,733,400,156,101,60.882800608828006,71.94244604316546,15.37290715372907,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1060148,20260625,1060148_20260625,Fmr1-Tlx3,trained,636,285,109,178,49.82517482517482,72.33502538071066,31.11888111888112,False,fail,percent_omissions >= 30,True,include_all_animals_ignore_criteria
1060358,20260601,1060358_20260601,Tlx3,naive,633,348,133,88,61.15992970123023,72.34927234927235,15.465729349736378,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1060358,20260602,1060358_20260602,Tlx3,naive,703,306,103,221,48.57142857142857,74.81662591687042,35.079365079365076,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1060358,20260608,1060358_20260608,Tlx3,trained,674,343,124,135,56.97674418604651,73.44753747323341,22.425249169435215,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1060358,20260612,1060358_20260612,Tlx3,trained,633,138,48,383,24.253075571177504,74.19354838709677,67.31107205623901,False,fail,percent_omissions >= 30,True,include_all_animals_ignore_criteria
1060359,20260624,1060359_20260624,Tlx3,naive,321,107,32,146,37.54385964912281,76.97841726618705,51.2280701754386,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1060359,20260626,1060359_20260626,Tlx3,naive,678,329,162,106,55.10887772194305,67.0061099796334,17.75544388609715,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1060360,20260519,1060360_20260519,Tlx3,naive,346,17,49,235,5.647840531561462,25.757575757575758,78.07308970099668,False,fail,percent_omissions > 60,True,include_all_animals_ignore_criteria
1060360,20260521,1060360_20260521,Tlx3,naive,652,272,212,77,48.484848484848484,56.19834710743802,13.725490196078432,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1060360,20260601,1060360_20260601,Tlx3,trained,669,377,122,99,63.04347826086957,75.55110220440882,16.555183946488295,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1060360,20260602,1060360_20260602,Tlx3,trained,694,383,139,103,61.28,73.37164750957854,16.48,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1061220,20260527,1061220_20260527,Fezf2,naive,612,247,98,194,45.82560296846011,71.59420289855073,35.99257884972171,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1061220,20260529,1061220_20260529,Fezf2,naive,642,316,92,159,55.73192239858906,77.45098039215686,28.04232804232804,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1061220,20260608,1061220_20260608,Fezf2,trained,617,376,107,60,69.24493554327809,77.84679089026915,11.049723756906078,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1061220,20260610,1061220_20260610,Fezf2,trained,635,316,111,136,56.12788632326821,74.00468384074942,24.156305506216697,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1061233,20260526,1061233_20260526,Fezf2,naive,433,28,45,317,7.179487179487179,38.35616438356164,81.28205128205128,False,fail,percent_omissions > 60,True,include_all_animals_ignore_criteria
1061233,20260528,1061233_20260528,Fezf2,naive,682,374,179,51,61.920529801324506,67.63110307414105,8.443708609271523,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1061233,20260608,1061233_20260608,Fezf2,trained,681,407,136,56,67.9465776293823,74.95395948434623,9.348914858096828,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1061233,20260610,1061233_20260610,Fezf2,trained,713,403,161,73,63.26530612244898,71.45390070921985,11.459968602825747,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1061234,20260601,1061234_20260601,Fezf2,naive,686,304,255,52,49.754500818330605,54.38282647584973,8.51063829787234,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1061234,20260602,1061234_20260602,Fezf2,naive,671,350,177,70,58.62646566164153,66.41366223908919,11.725293132328309,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1061234,20260609,1061234_20260609,Fezf2,trained,697,407,158,52,65.96434359805511,72.0353982300885,8.427876823338735,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1061234,20260612,1061234_20260612,Fezf2,trained,633,309,93,163,54.690265486725664,76.86567164179104,28.84955752212389,True,pass,meets criteria,True,include_all_animals_ignore_criteria
986167,20251125,986167_20251125,Fezf2,naive,321,42,201,44,14.634146341463413,17.28395061728395,15.33101045296167,True,pass,meets criteria,True,include_all_animals_ignore_criteria
986167,20251204,986167_20251204,Fezf2,naive,627,314,215,17,57.509157509157504,59.35727788279773,3.1135531135531136,True,pass,meets criteria,True,include_all_animals_ignore_criteria
986167,20251210,986167_20251210,Fezf2,trained,685,246,80,289,40.0,75.4601226993865,46.99186991869919,False,fail,percent_omissions >= 30,True,include_all_animals_ignore_criteria
986167,20251211,986167_20251211,Fezf2,trained,670,238,118,242,39.79933110367893,66.85393258426966,40.468227424749166,False,fail,percent_omissions >= 30,True,include_all_animals_ignore_criteria
986168,20251203,986168_20251203,Fezf2,naive,691,348,115,147,57.049180327868854,75.16198704103671,24.098360655737704,True,pass,meets criteria,True,include_all_animals_ignore_criteria
986168,20251204,986168_20251204,Fezf2,naive,532,103,38,333,21.729957805907173,73.04964539007092,70.25316455696202,False,fail,percent_omissions > 60,True,include_all_animals_ignore_criteria
986168,20251210,986168_20251210,Fezf2,trained,615,122,73,353,22.26277372262774,62.56410256410256,64.41605839416059,False,fail,percent_omissions >= 30,True,include_all_animals_ignore_criteria
986168,20251212,986168_20251212,Fezf2,trained,412,98,44,226,26.6304347826087,69.01408450704226,61.41304347826087,False,fail,percent_omissions >= 30,True,include_all_animals_ignore_criteria
986169,20251202,986169_20251202,Fezf2,naive,379,4,26,311,1.1730205278592376,13.333333333333334,91.20234604105572,False,fail,percent_omissions > 60,True,include_all_animals_ignore_criteria
986169,20251203,986169_20251203,Fezf2,naive,392,9,62,281,2.556818181818182,12.676056338028168,79.82954545454545,False,fail,percent_omissions > 60,True,include_all_animals_ignore_criteria
986170,20251125,986170_20251125,Fezf2,naive,683,381,159,33,66.49214659685863,70.55555555555556,5.7591623036649215,True,pass,meets criteria,True,include_all_animals_ignore_criteria
986170,20251201,986170_20251201,Fezf2,naive,719,390,187,62,61.03286384976526,67.59098786828423,9.702660406885759,True,pass,meets criteria,True,include_all_animals_ignore_criteria
986170,20251209,986170_20251209,Fezf2,trained,726,425,156,68,65.48536209553158,73.14974182444061,10.477657935285054,True,pass,meets criteria,True,include_all_animals_ignore_criteria
986170,20251211,986170_20251211,Fezf2,trained,693,311,133,174,50.323624595469255,70.04504504504504,28.155339805825243,True,pass,meets criteria,True,include_all_animals_ignore_criteria
986171,20251203,986171_20251203,Fezf2,naive,388,77,165,82,23.765432098765434,31.818181818181817,25.308641975308642,True,pass,meets criteria,True,include_all_animals_ignore_criteria
986171,20251208,986171_20251208,Fezf2,naive,640,303,207,54,53.72340425531915,59.411764705882355,9.574468085106384,True,pass,meets criteria,True,include_all_animals_ignore_criteria
986171,20251212,986171_20251212,Fezf2,trained,673,318,190,67,55.30434782608695,62.59842519685039,11.652173913043478,True,pass,meets criteria,True,include_all_animals_ignore_criteria
986235,20251125,986235_20251125,Tlx3,naive,476,99,46,280,23.294117647058822,68.27586206896552,65.88235294117646,False,fail,percent_omissions > 60,True,include_all_animals_ignore_criteria
986235,20251202,986235_20251202,Tlx3,naive,693,323,191,102,52.435064935064936,62.840466926070036,16.558441558441558,True,pass,meets criteria,True,include_all_animals_ignore_criteria
986235,20251209,986235_20251209,Tlx3,trained,656,374,141,46,66.66666666666666,72.62135922330097,8.19964349376114,True,pass,meets criteria,True,include_all_animals_ignore_criteria
986235,20251211,986235_20251211,Tlx3,trained,612,302,112,133,55.21023765996343,72.94685990338165,24.314442413162705,True,pass,meets criteria,True,include_all_animals_ignore_criteria
999770,20251111,999770_20251111,Tlx3,naive,659,333,197,59,56.536502546689306,62.83018867924528,10.0169779286927,True,pass,meets criteria,True,include_all_animals_ignore_criteria
999770,20251111,999770_20251111,Tlx3,naive,659,333,197,59,56.536502546689306,62.83018867924528,10.0169779286927,True,pass,meets criteria,True,include_all_animals_ignore_criteria
999770,20251112,999770_20251112,Tlx3,naive,416,64,133,176,17.158176943699733,32.48730964467005,47.18498659517426,True,pass,meets criteria,True,include_all_animals_ignore_criteria
999770,20251206,999770_20251206,Tlx3,trained,718,487,148,11,75.38699690402477,76.69291338582677,1.7027863777089782,True,pass,meets criteria,True,include_all_animals_ignore_criteria
999770,20251209,999770_20251209,Tlx3,trained,725,474,143,34,72.81105990783409,76.82333873581848,5.22273425499232,True,pass,meets criteria,True,include_all_animals_ignore_criteria
